time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,DeviceOrientation
2014-02-24 18:17:04.629,25,2.5,43.61243,3.912203,19.34371,3.03433,170.8,9,5,1393262223,0.2702637,-0.3549805,-0.9619446,-22.76825,-32.52646,-22.57349,133.0679,132.3597,25,-0.08335135,0.1111124,-0.05702148,-0.03206818,0.3016411,0.4278014,-0.1671506,0.1184298,-0.1268802,0.02393638,0.01943983,-0.09549523,3
2014-02-24 18:17:04.698,26,2.6,43.61243,3.912203,19.34371,3.03433,170.8,9,5,1393262223,0.2702637,-0.3549805,-0.9619446,-23.64649,-32.52646,-23.5883,137.3773,136.6691,25,-0.01183535,0.07076498,-0.06884485,-0.03334288,0.3056816,0.4234408,-0.06803904,0.07106557,-0.05038704,0.006992669,0.05465281,-0.0943435,3
2014-02-24 18:17:04.808,27,2.7,43.61239,3.912215,19.93888,3.297239,169.8023,9,5,1393262224,0.2712097,-0.363739,-0.9287109,-26.11652,-32.68895,-24.99776,149.4621,148.7538,25,0.04266011,0.0991383,-0.1166957,-0.03385572,0.3060104,0.4193176,-0.02731632,0.06099561,-0.07102034,-0.007183172,0.06126634,-0.08037449,3
2014-02-24 18:17:04.903,28,2.8,43.61239,3.912215,19.93888,3.297239,169.8023,9,5,1393262224,0.2672119,-0.3685303,-0.914093,-27.76321,-34.42213,-25.33602,153.1607,152.4525,25,0.07944769,0.1006797,-0.1011069,-0.03778466,0.3099038,0.4172181,0.06391978,0.09089576,-0.1032873,-0.007597128,0.04147978,-0.05804196,3
2014-02-24 18:17:04.985,29,2.9,43.61239,3.912215,19.93888,3.297239,169.8023,9,5,1393262224,0.2783813,-0.3776855,-0.9031677,-27.76321,-34.7471,-25.67429,156.1485,155.4403,25,0.08458679,0.1265428,-0.1318105,-0.04019738,0.3127555,0.417879,0.07004806,0.1034193,-0.1021773,-0.01399426,0.03729256,-0.04447763,3
2014-02-24 18:17:05.100,30,3,43.61239,3.912215,19.93888,3.297239,169.8023,9,5,1393262224,0.2997894,-0.3891907,-0.9126129,-27.92789,-35.55953,-26.51997,158.988,158.2797,25,0.06979852,0.1298464,-0.129639,-0.04568595,0.3187091,0.4174075,0.05424007,0.1200528,-0.1318226,-0.001739904,0.0155756,-0.03879872,3
2014-02-24 18:17:05.179,31,3.1,43.61239,3.912215,19.93888,3.297239,169.8023,9,5,1393262224,0.3149567,-0.3906403,-0.9260559,-27.98277,-35.72202,-27.36563,166.4165,165.7083,25,0.03630821,0.09928557,-0.092123,-0.04791166,0.3215279,0.4175152,0.02074983,0.08949197,-0.09430664,0.01502355,0.01416342,-0.05112562,3
2014-02-24 18:17:05.293,32,3.2,43.61239,3.912215,19.93888,3.297239,169.8023,9,5,1393262224,0.3219452,-0.3878174,-0.9279633,-27.70832,-33.71803,-25.73067,168.2975,167.5892,25,-0.02282489,0.06380481,-0.07826737,-0.0498818,0.3239568,0.4159135,0.002227488,0.07580645,-0.08731858,0.01466472,0.01367539,-0.04729374,3
2014-02-24 18:17:05.481,33,3.3,43.61239,3.912215,19.93888,3.297239,169.8023,9,5,1393262224,0.3321228,-0.3930359,-0.928772,-23.48182,-32.25565,-22.85537,46.8702,46.16196,26,0.004254666,0.03796709,-0.07540873,-0.05302734,0.3272493,0.412867,-0.01135703,0.02818261,-0.07760816,0.02751486,0.01341973,-0.06059969,3
2014-02-24 18:17:05.572,34,3.4,43.61239,3.912215,19.93888,3.297239,169.8023,9,5,1393262224,0.3378448,-0.38797,-0.9014282,-24.57961,-32.25565,-23.41915,46.53555,45.8273,26,0.03325063,-0.0009033442,-0.003191532,-0.05414028,0.3282253,0.4125358,0.005568217,0.01728979,-0.03862667,0.03680328,0.007897845,-0.06157043,3
2014-02-24 18:17:05.729,35,3.5,43.61235,3.912232,19.48656,3.529357,166.7428,9.017418,5,1393262225,0.3344574,-0.3709717,-0.9035492,-23.97582,-31.98483,-24.15208,46.4222,45.71395,26,-0.03067136,-0.003722833,-0.01081643,-0.05506995,0.3293114,0.4108669,-0.05611844,-0.01245607,-0.01665243,0.04193218,0.031347,-0.03699826,3
2014-02-24 18:17:05.919,36,3.6,43.61235,3.912232,19.48656,3.529357,166.7428,9.017418,5,1393262225,0.3175201,-0.3765717,-0.9037018,-24.30516,-32.85143,-22.12244,46.48851,45.78026,26,-0.05280036,-0.01183775,-0.01212324,-0.05569432,0.3305091,0.4026605,-0.06852335,-0.02154943,-0.01437774,0.03176781,0.02695354,-0.03731944,3
2014-02-24 18:17:06.010,37,3.7,43.61235,3.912232,19.48656,3.529357,166.7428,9.017418,5,1393262225,0.3143921,-0.3734741,-0.9008331,-24.03072,-32.36397,-22.06607,46.44315,45.7349,26,0.009827331,0.01367613,-3.914847e-05,-0.05586617,0.3308808,0.4004007,-0.02796993,0.01388843,-0.01669037,0.01998803,0.02815407,-0.03186494,3
2014-02-24 18:17:06.113,38,3.8,43.61235,3.912232,19.48656,3.529357,166.7428,9.017418,5,1393262225,0.3083649,-0.3723602,-0.901886,-24.52472,-31.55154,-22.57347,46.4223,45.71405,26,-0.001343032,0.006892261,0.01282339,-0.05605699,0.3313384,0.3983737,-0.005960644,0.00398071,-0.00231683,0.01464867,0.01240109,-0.03511707,3
2014-02-24 18:17:06.221,39,3.9,43.61235,3.912232,19.48656,3.529357,166.7428,9.017418,5,1393262225,0.2960815,-0.3591614,-0.9089508,-25.51273,-32.09316,-24.15205,46.52859,45.82034,26,-0.01516617,-0.03142104,0.05412342,-0.05447184,0.3302466,0.3944917,-0.03102736,-0.04110814,0.05182267,0.00899558,0.01197877,-0.02858102,3
2014-02-24 18:17:06.321,40,4,43.61235,3.912232,19.48656,3.529357,166.7428,9.017418,5,1393262225,0.2960815,-0.3591614,-0.9089508,-25.29317,-31.87651,-23.81379,46.52482,45.81657,26,-0.009211608,-0.0741986,0.08509891,-0.05319031,0.3282694,0.3929784,-0.01872845,-0.08066589,0.0546659,0.003501391,0.01366349,-0.03534528,3
2014-02-24 18:17:06.503,41,4.1,43.61235,3.912232,19.48656,3.529357,166.7428,9.017418,5,1393262225,0.2871552,-0.3629761,-0.9129486,-25.23829,-33.23057,-23.87018,46.50365,45.7954,26,-0.001688444,-0.1139005,0.07382736,-0.04965829,0.3223082,0.3906663,-0.0176371,-0.1236117,0.07150966,-0.002683923,0.01773699,-0.04071305,3
2014-02-24 18:17:06.630,42,4.2,43.6123,3.912251,18.07211,4.064232,165.2781,9.5,5,1393262226,0.2835541,-0.3838196,-0.9069672,-24.08561,-32.52646,-23.47553,46.37418,45.66593,26,0.03258351,-0.1225137,0.09770286,-0.04771789,0.3183783,0.389725,0.01660144,-0.1322412,0.09538087,-0.0002931531,0.01387573,-0.03921351,3
2014-02-24 18:17:06.710,43,4.3,43.6123,3.912251,18.07211,4.064232,165.2781,9.5,5,1393262226,0.2775421,-0.3826904,-0.9080353,-25.1834,-32.30981,-23.81379,45.58856,44.88031,26,0.04707963,-0.09496699,0.1269012,-0.04556535,0.3142968,0.3898963,0.02267997,-0.1264993,0.1012492,-0.005412958,0.0002554852,-0.03909274,3
2014-02-24 18:17:06.813,44,4.4,43.6123,3.912251,18.07211,4.064232,165.2781,9.5,5,1393262226,0.2695465,-0.3874512,-0.9031982,-25.7323,-32.63478,-23.81379,45.46394,44.7557,26,0.04462979,-0.0882047,0.1244652,-0.04104768,0.307984,0.3917794,0.0286157,-0.09796861,0.1221453,-0.002627561,-0.000856824,-0.02729238,3
2014-02-24 18:17:06.920,45,4.5,43.6123,3.912251,18.07211,4.064232,165.2781,9.5,5,1393262226,0.2735443,-0.3806915,-0.9207764,-25.62252,-32.63478,-23.70104,45.22503,44.51678,26,-0.003295662,-0.09995723,0.1182542,-0.03868029,0.3046906,0.3927416,0.01759204,-0.08680073,0.1137219,-0.007610661,-0.004728492,-0.02188828,3
2014-02-24 18:17:07.020,46,4.6,43.6123,3.912251,18.07211,4.064232,165.2781,9.5,5,1393262226,0.2640228,-0.3556061,-0.9288635,-26.06163,-31.65987,-23.36276,44.88737,44.17912,26,-0.04742637,-0.1276315,0.1016766,-0.0361357,0.3012465,0.3927086,-0.01932748,-0.1097507,0.1159384,-0.0005796082,0.002000732,-0.03850503,3
2014-02-24 18:17:07.132,47,4.7,43.6123,3.912251,18.07211,4.064232,165.2781,9.5,5,1393262226,0.2440186,-0.3650055,-0.9114685,-24.90895,-33.66386,-24.77224,46.42842,45.72018,26,-0.07797523,-0.1631708,0.08061442,-0.03115891,0.293037,0.3893133,-0.09405357,-0.1729812,0.07829174,0.001873669,0.01984247,-0.04401765,3
2014-02-24 18:17:07.259,48,4.8,43.6123,3.912251,18.07211,4.064232,165.2781,9.5,5,1393262226,0.2568817,-0.3504791,-0.9309082,-25.67741,-32.4723,-23.19364,46.89344,46.18519,26,0.0120761,-0.01666287,0.03077895,-0.02605013,0.2801349,0.3788291,-0.02601397,-0.03242024,0.02117141,0.02087368,-0.009180196,-0.05906976,3
2014-02-24 18:17:07.412,49,4.9,43.6123,3.912251,18.07211,4.064232,165.2781,9.5,5,1393262226,0.2687378,-0.3456421,-0.9191284,-26.00674,-32.79727,-23.87018,46.64447,45.93622,26,0.0120761,-0.01666287,0.03077895,-0.02542884,0.2792375,0.3779069,-0.003946561,-0.02652701,0.02836149,0.008016097,0.008319158,-0.04416886,3
2014-02-24 18:17:07.506,50,5,43.6123,3.912251,18.07211,4.064232,165.2781,9.5,5,1393262226,0.2687378,-0.3456421,-0.9191284,-26.66542,-32.4723,-24.0957,46.1754,45.46715,26,-0.020513,-0.03791542,-0.04440528,-0.02503419,0.2784737,0.3766693,0.002394265,-0.0119729,0.0001218392,0.006147101,0.02129824,-0.02900872,3
2014-02-24 18:17:07.605,51,5.1,43.61225,3.912267,18.15092,4.596756,166.2583,9.5,5,1393262227,0.2814026,-0.372879,-0.919754,-25.89697,-32.25565,-24.32121,46.15644,45.4482,26,-0.02545636,-0.002839462,-0.04714115,-0.02543388,0.278055,0.3753614,-0.03656858,-0.04778066,-0.04683019,0.01336291,0.0209667,-0.0244879,3
